Name,Score,Consistency,Metabolite Annotation,Reaction Annotation,Gene Annotation,SBO annotation,,,Score,Consistency,Metabolite Annotation,Reaction Annotation,Gene Annotation,SBO annotation
861.5,84,93.6,54.54,55.41,40,90.91,,,,,,,,
1017.4,84,94.37,54.54,55.38,40,90.91,,,,,,,,
1019.5,84,93.95,54.54,55.38,40,90.91,,,,,,,,
1260.177,85,96.29,54.54,55.34,40,90.91,,,,,,,,
1282.4634,83,90.46,54.54,55.41,40,90.91,,,,,,,,
1283.98,84,93.52,54.54,55.41,40,90.91,,,,,,,,
1292.16,84,93.54,54.54,55.41,40,90.91,,,,,,,,
1302.83,83,92.13,54.54,55.39,40,90.91,,,,,,,,
1307.4627,83,91.66,54.54,55.39,40,90.91,,,,,,,,
1309.331,83,92.72,54.54,55.39,40,90.91,,,,,,,,
1310.8,84,94.51,54.54,55.39,40,90.91,,,,,,,,
1311.983,83,91.24,54.54,55.38,40,90.91,,,,,,,,
1313.39228,84,92.86,54.54,55.38,40,90.91,,,,,,,,
1314.999,84,93.84,54.54,55.37,40,90.91,,,,,,,,
1319.3,84,94.17,54.54,55.39,40,90.91,,,,,,,,
1328.24,83,91.22,54.54,55.37,40,90.91,,,,,,,,
1338.85,84,92.98,54.54,55.37,40,90.91,,,,,,,,
1349.244,84,94.39,54.54,55.38,40,90.91,,,,,,,,
1352.8996,84,94.62,54.54,55.4,40,90.91,,,,,,,,
1353.8,84,93.58,54.54,55.42,40,90.91,,,,,,,,
1354.41,84,93.37,54.54,55.39,40,90.91,,,,,,,,
1390.556,84,92.94,54.54,55.45,40,90.91,,,,,,,,
1392.92,83,92.46,54.54,55.45,40,90.91,,,,,,,,
1396.2548,82,90.09,54.54,55.45,40,90.91,,,,,,,,
1402.452,84,93.41,54.54,55.45,40,90.91,,,,,,,,
1408.387,84,93.21,54.54,55.44,40,90.91,,,,,,,,
1423.45,83,90.82,54.54,55.45,40,90.91,,,,,,,,
1428.252,83,92.76,54.54,55.45,40,90.91,,,,,,,,
1491.662,83,91.53,54.54,55.4,40,90.91,,,,,,,,
1492.235,84,93.86,54.54,55.43,40,90.91,,,,,,,,
1496.897,84,94.18,54.54,55.42,40,90.91,,,,,,,,
1502.338,84,94.4,54.54,55.39,40,90.91,,,,,,,,
1693.993,84,94.07,54.54,55.42,40,90.91,,,,,,,,
1655.52,84,93.43,54.54,55.4,40,90.91,,,,,,,,
1659.4,84,92.97,54.54,55.4,40,90.91,,,,,,,,
1689.18,84,93.35,54.54,55.38,40,90.91,,,,,,,,
1717.498,85,95.4,54.54,55.39,40,90.91,,,,,,,,
1719.86,84,94.54,54.54,55.4,40,90.91,,,,,,,,
1747.94,84,93.19,54.54,55.41,40,90.91,,,,,,,,
1764.226,84,93.18,54.54,55.45,40,90.91,,,,,,,,
1766.51,84,93.61,54.54,55.46,40,90.91,,,,,,,,
1767.9,84,93.34,54.54,55.46,40,90.91,,,,,,,,
1773.31,84,93.84,54.54,55.44,40,90.91,,,,,,,,
1773.9612,84,93.41,54.54,55.45,40,90.91,,,,,,,,
1774.88,84,93.57,54.54,55.46,40,90.91,,,,,,,,
1778.5,82,90.04,54.54,55.46,40,90.91,,,,,,,,
1781.9,83,90.85,54.54,55.46,40,90.91,,,,,,,,
1784.14,84,92.81,54.54,55.46,40,90.91,,,,,,,,
1802.8,82,90.04,54.54,55.47,40,90.91,,,,,,,,
1806.25,84,93.47,54.54,55.44,40,90.91,,,,,,,,
1809.3,84,93.29,54.54,55.46,40,90.91,,,,,,,,
2047.689,84,94.06,54.54,55.4,40,90.91,,,,,,,,
2055.18,84,93.19,54.54,55.45,40,90.91,,,,,,,,
2098.79,85,97.76,54.54,55.14,40,90.91,,,,,,,,
2104.464,85,96.18,54.54,55.21,40,90.91,,,,,,,,
2130.41,85,95.98,54.54,55.2,40,90.91,,,,,,,,
2702.191,85,96.77,54.54,55.32,40,90.91,,,,,,,,
13373.94,83,92.72,54.54,55.46,40,90.91,,,,,,,,
28035.9,84,93.63,54.54,55.41,40,90.91,,,,,,,,
28037.232,84,93.51,54.54,55.37,40,90.91,,,,,,,,
28080.85,85,95.68,54.54,55.37,40,90.91,,,,,,,,
28090.112,84,93.11,54.54,55.43,40,90.91,,,,,,,,
28091.9,84,94.05,54.54,55.41,40,90.91,,,,,,,,
28116.7,84,92.96,54.54,55.42,40,90.91,,,,,,,,
28118.6,84,93.69,54.54,55.41,40,90.91,,,,,,,,
28129.6,84,94.59,54.54,55.37,40,90.91,,,,,,,,
28131.7,85,95.5,54.54,55.36,40,90.91,,,,,,,,
28132.5,84,94.85,54.54,55.38,40,90.91,,,,,,,,
28133.9,84,95.38,54.54,55.35,40,90.91,,,,,,,,
28135.5,84,93.71,54.54,55.38,40,90.91,,,,,,,,
28137.14,84,95.1,54.54,55.36,40,90.91,,,,,,,,
28152.31,83,91.99,54.54,55.45,40,90.91,,,,,,,,
28188.26,84,94,54.54,55.38,40,90.91,,,,,,,,
28189.7,84,93.86,54.54,55.39,40,90.91,,,,,,,,
28449.59,84,93.9,54.54,55.4,40,90.91,,,,,,,,
28450.9,83,91.75,54.54,55.47,40,90.91,,,,,,,,
28901.9943,83,91.17,54.54,55.46,40,90.91,,,,,,,,
29382.24,84,93.24,54.54,55.42,40,90.91,,,,,,,,
29385.324,84,93.36,54.54,55.42,40,90.91,,,,,,,,
29391.22,84,93.86,54.54,55.36,40,90.91,,,,,,,,
29430.79,84,93.8,54.54,55.43,40,90.91,,,,,,,,
29459.643,83,91.93,54.54,55.45,40,90.91,,,,,,,,
29466.62,84,95.05,54.54,55.39,40,90.91,,,,,,,,
29484.38,83,91.46,54.54,55.45,40,90.91,,,,,,,,
32019.101,84,94.91,54.54,55.37,40,90.91,,,,,,,,
32021.6,84,94.76,54.54,55.38,40,90.91,,,,,,,,
32022.895,84,95.31,54.54,55.37,40,90.91,,,,,,,,
33010.11,83,91.53,54.54,55.41,40,90.91,,,,,,,,
33892.42,84,93.12,54.54,55.44,40,90.91,,,,,,,,
33894.96,84,93.7,54.54,55.44,40,90.91,,,,,,,,
33945.25,83,91.88,54.54,55.43,40,90.91,,,,,,,,
34062.31,84,94.75,54.54,55.4,40,90.91,,,,,,,,
34105.52,81,85.69,54.54,55.31,40,90.91,,,,,,,,
35703.76,83,92.24,54.54,55.45,40,90.91,,,,,,,,
35790.36,85,96.87,54.54,55.29,40,90.91,,,,,,,,
35814.8,84,93.77,54.54,55.44,40,90.91,,,,,,,,
36809.776,83,91.9,54.54,55.46,40,90.91,,,,,,,,
37326.9,82,89.79,54.54,55.47,40,90.91,,,,,,,,
37329.71,83,90.29,54.54,55.46,40,90.91,,,,,,,,
37734.92,83,91.34,54.54,55.41,40,90.91,,,,,,,,
38289.55,83,91.65,54.54,55.41,40,90.91,,,,,,,,
38323.36,84,95.2,54.54,55.37,40,90.91,,,,,,,,
38347.3,84,93.53,54.54,55.42,40,90.91,,,,,,,,
39777.9,84,95.22,54.54,55.38,40,90.91,,,,,,,,
39778.224,84,94.87,54.54,55.39,40,90.91,,,,,,,,
40041.89,84,94.44,54.54,55.37,40,90.91,,,,,,,,
40091.23,84,94.82,54.54,55.34,40,90.91,,,,,,,,
40215.125,84,93.73,54.54,55.43,40,90.91,,,,,,,,
40216.95,84,94.16,54.54,55.44,40,90.91,,,,,,,,
40324.97,83,92.34,54.54,55.45,40,90.91,,,,,,,,
42897.88,83,92,54.54,55.45,40,90.91,,,,,,,,
43767.6,84,93.2,54.54,55.45,40,90.91,,,,,,,,
43770.575,83,92.4,54.54,55.41,40,90.91,,,,,,,,
43771.9,84,95.17,54.54,55.4,40,90.91,,,,,,,,
44275.5,84,93.25,54.54,55.43,40,90.91,,,,,,,,
44454.4,84,93.64,54.54,55.45,40,90.91,,,,,,,,
45067.5,84,93.91,54.54,55.44,40,90.91,,,,,,,,
46503.2312,84,94.03,54.54,55.42,40,90.91,,,,,,,,
46506.2062,84,94.08,54.54,55.41,40,90.91,,,,,,,,
47678.1147,84,93.82,54.54,55.41,40,90.91,,,,,,,,
47880.53,83,92.76,54.54,55.46,40,90.91,,,,,,,,
47885.35,83,92.61,54.54,55.47,40,90.91,,,,,,,,
47886.9,83,91.71,54.54,55.47,40,90.91,,,,,,,,
48296.84,84,93.93,54.54,55.45,40,90.91,,,,,,,,
52773.3,84,95.02,54.54,55.37,40,90.91,,,,,,,,
53345.74,84,93.98,54.54,55.39,40,90.91,,,,,,,,
53346.53,83,91.78,54.54,55.4,40,90.91,,,,,,,,
53436.3,85,96.42,54.54,55.24,40,90.91,,,,,,,,
57706.84,83,91.82,54.54,55.46,40,90.91,,,,,,,,
57975.9,83,91.86,54.54,55.47,40,90.91,,,,,,,,
59201.739,83,91,54.54,55.46,40,90.91,,,,,,,,
60552.42,83,92.22,54.54,55.46,40,90.91,,,,,,,,
61645.92,82,90,54.54,55.46,40,90.91,,,,,,,,
61648.5,83,91.65,54.54,55.46,40,90.91,,,,,,,,
61652.8,83,91.74,54.54,55.47,40,90.91,,,,,,,,
65058.66,84,94.33,54.54,55.4,40,90.91,,,,,,,,
67824.43,83,92.04,54.54,55.46,40,90.91,,,,,,,,
67826.48,83,91.4,54.54,55.45,40,90.91,,,,,,,,
67827.25,83,90.37,54.54,55.46,40,90.91,,,,,,,,
70346.7,84,93.23,54.54,55.45,40,90.91,,,,,,,,
71452.51,83,91.32,54.54,55.41,40,90.91,,,,,,,,
72361.9,84,92.93,54.54,55.45,40,90.91,,,,,,,,
72407.978,83,91.31,54.54,55.47,40,90.91,,,,,,,,
72759.16,84,93.31,54.54,55.41,40,90.91,,,,,,,,
74426.49,85,95.82,54.54,55.38,40,90.91,,,,,,,,
76123.5,84,94.84,54.54,55.37,40,90.91,,,,,,,,
76759.43,84,92.98,54.54,55.47,40,90.91,,,,,,,,
76856.6,84,95.39,54.54,55.36,40,90.91,,,,,,,,
76857.9,84,94.26,54.54,55.38,40,90.91,,,,,,,,
76859.52,85,95.53,54.54,55.37,40,90.91,,,,,,,,
78331.182,84,93.59,54.54,55.45,40,90.91,,,,,,,,
83262.23,84,93.26,54.54,55.46,40,90.91,,,,,,,,
83331.22,84,93.7,54.54,55.44,40,90.91,,,,,,,,
83332.293,84,93.46,54.54,55.45,40,90.91,,,,,,,,
83333.442,83,91.64,54.54,55.45,40,90.91,,,,,,,,
83334.615,83,92.27,54.54,55.46,40,90.91,,,,,,,,
83554.74,85,95.9,54.54,55.3,40,90.91,,,,,,,,
